Région,Ville,Nom du maire,Date de prise de fonction,Téléphone,Email,Address mairie
Auvergne-Rhône-Alpes,Aboën (42380),M. Christian JOUVE,25/05/2020,04 77 50 35 12, mairie-daboen@wanadoo.fr ,"Mairie de Aboën,  120 place des Tilleuls, 42380, Aboën"
Bourgogne Franche Comté,Abbans-Dessous (25320),Mme Chantal VIPREY,01/06/2020,03 81 63 75 72, mairie.abbansdessous@orange.fr ,"Mairie de Abbans-Dessous,  22 rue Jouffroy-d'Abbans, 25320, Abbans-Dessous"
Bretagne,Acigné (35690),M. Olivier DEHAESE,25/05/2020,02 99 04 30 00, mairie@ville-acigne.fr ,"Mairie de Acigné,  Place de la Mairie, 35690, Acigné"
Centre-Val de Loire,Abilly (37160),M. Christophe DUJON,23/05/2020,02 47 59 78 01, mairie.abilly@wanadoo.fr ,"Mairie de Abilly,  Place de la Mairie, 37160, Abilly"
Corse,Afa (20167),M. Ange Pascal MINICONI,23/05/2020,04 95 10 90 00, afa.mairie@wanadoo.fr ,"Mairie de Afa,  Afa-Village, 20167, Afa"
Grand-Est,Abainville (55130),M. Jean-Claude HERPIERRE,23/05/2020,03 29 89 65 52, mairie.abainville@orange.fr ,"Mairie de Abainville,  3 rue Saint-Martin, 55130, Abainville"
Hauts-de-France,Abancourt (59268),Mme Françoise LAINE,03/07/2020,03 27 79 90 44, mairieabancourt@wanadoo.fr ,"Mairie de Abancourt,  22 Grand'rue, 59268, Abancourt"
Île-de-France,Abbéville-la-Rivière (91150),M. Eric MEYER,23/05/2020,01 64 95 67 37, mairie-abbeville-la-riviere@wanadoo.fr ,"Mairie de Abbéville-la-Rivière,  1 place de la Mairie, 91150, Abbéville-la-Rivière"
Normandie,Ablon (14600),M. Xavier CANU,25/05/2020,02 31 98 76 04, ablon@orange.fr ,"Mairie de Ablon,  Le Bourg, 14600, Ablon"
Nouvelle aquitaine,Aast (64460),M. Jean-François GARNIER,28/05/2020,05 62 32 57 00, mairie.aast@wanadoo.fr ,"Mairie de Aast,  1 place de la Mairie, 64460, Aast"
Occitanie,Abeilhan (34290),M. Pierre-Jean ROUGEOT,25/05/2020,04 67 39 00 21, mairie.abeilhan@wanadoo.fr ,"Mairie de Abeilhan,  11 avenue Georges-Guynemer, 34290, Abeilhan"
Pays de la Loire,Abbaretz (44170),M. Jean-Pierre POSSOZ,15/03/2020,02 40 87 00 13, mairie@abbaretz.fr ,"Mairie de Abbaretz,  22 rue de la Mairie, 44170, Abbaretz"
Provence-Alpes-Côte d’Azur,Abriès-Ristolas (05460),M. Nicolas CRUNCHANT,06/07/2020,04 92 46 71 03, mairie@abries-ristolas.fr ,"Mairie de Abriès-Ristolas,  Le Bourg, 05460, Abriès-Ristolas"
Guadeloupe,Anse-Bertrand (97121),M. Edouard DELTA,05/07/2020,+590 5 90 89 48 48, commune@mairieansebertrand.fr ,"Mairie de Anse-Bertrand,  Rue Cheikh-Anta-Diop, 97121, Anse-Bertrand"
Guyane,Apatou (97317),M. Paul DOLIANKI,24/05/2020,+594 5 94 34 91 37, mairie.apatou@wanadoo.fr ,"Mairie de Apatou,  23, avenue du Général-de-Gaulle, 97317, Apatou"
La Réunion,Bras-Panon (97412),M. Jeannick ATCHAPA,04/07/2020,+262 2 62 51 50 50, mairebraspanon@wanadoo.fr ,"Mairie de Bras-Panon,  89 route nationale 2, 97412, Bras-Panon"
Martinique,Basse-Pointe (97218),Mme Marie-Thérèse CASIMIRIUS,18/05/2020,+596 5 96 78 50 44, mairie.basse-pointe@orange.fr ,"Mairie de Basse-Pointe,  22 rue Docteur-Morestin, 97218, Basse-Pointe"
Mayotte,Acoua (97630),M. Ahmed Darouechi,,+269 2 69 62 18 81, mairie.acoua@orange.fr ,"Mairie de Acoua,  Place de la Mairie, 97630, Acoua"
